Date,02D002_Cl,02D002_H2S,02D002_pH_at25oC,02D002_Sulfide
6/6/2019,1,0,7.15,0
11/6/2019,1,0,4.85,0
13/6/19,1,0,5.23,0
18/6/19,1.92,0,6.55,0
20/6/19,1,0,7.45,0
25/6/19,1,0,6.57,0
27/6/19,1,0,7.48,0
2/7/2019,1,0,5.73,0
4/7/2019,1,0,6.49,0
9/7/2019,1.46,0,5.02,0
11/7/2019,2.72,0,5.74,0
16/7/19,1,0,6.99,0
18/7/19,1,0,5.06,0
23/7/19,1,0,6.55,0
25/7/19,3.08,0,7.44,0
30/7/19,1,0,7.14,0
1/8/2019,1,0,6.85,0
6/8/2019,1,0,7.09,0
27/8/19,1,0,5.72,0
29/8/19,1,0,7.49,0
3/9/2019,1,0,6.49,0
5/9/2019,1,0,5.55,0
10/9/2019,1,0,6.61,0
12/9/2019,1,0,6.59,0
17/9/19,1,0,6.64,0
19/9/19,1,0,5.8,0
24/9/19,1.11,0,6.98,0
26/9/19,1,0,6.13,0
1/10/2019,1,0,7.06,0
3/10/2019,1,0,6.77,0
8/10/2019,1,0,6.64,0
10/10/2019,1,0,6.4,0
15/10/19,1,0,6.53,0
17/10/19,1,0,7.38,0
22/10/19,1,0,7.26,0
24/10/19,1,0,7.47,0
29/10/19,1,0,7.41,0
31/10/19,1,0,7.01,0
5/11/2019,1,0,6.15,0
7/11/2019,1,0,7.11,0
14/11/19,1,0,6.96,0
19/11/19,1,0,7.27,0
21/11/19,1,0,5.28,0
26/11/19,1,0,7.18,0
28/11/19,1,0,7.2,0
3/12/2019,6.91,0,7.15,0
10/12/2019,1,0,7.05,0
12/12/2019,1,0,6.55,0
17/12/19,1,0,6.01,0
19/12/19,7.74,0,6.24,0
24/12/19,1,0,5.98,0
26/12/19,1,0,5.94,0
2/1/2020,1,0,6.24,0
7/1/2020,1,0,6.52,0
9/1/2020,1,0,5.85,0
14/1/20,1,0,6.84,0
16/1/20,1,0,7.16,0
21/1/20,1,0,6.29,0
23/1/20,1,0,6.7,0
28/1/20,1,0,6.5,0
30/1/20,1,0,5.12,0
4/2/2020,1,0,5.11,0
6/2/2020,1,0,6.85,0
11/2/2020,1,0,6.39,0
13/2/20,1,0,6.58,0
18/2/20,1,0,6.79,0
20/2/20,1.41,0,5.17,0
25/2/20,1,0,6.28,0
27/2/20,1,0,6.49,0
3/3/2020,1,0,6.55,0
5/3/2020,8.53,0,6.89,0
10/3/2020,1,0,5.87,0
12/3/2020,1,0,7.31,0
17/3/20,1.14,0,7.66,0
19/3/20,1,0,4.55,0
24/3/20,1.49,0,6.58,0
26/3/20,1.43,0,4.21,0
31/3/20,1,0,7.08,0
2/4/2020,1,0,6.63,0
7/4/2020,2.59,0,6.99,0
9/4/2020,1,0,7.22,0
14/4/20,1,0,7.03,0
16/4/20,1,0,6.54,0
21/4/20,1,0,6.48,0
23/4/20,1,0,6.95,0
28/4/20,1,0,6.22,0
30/4/20,1,0,5.65,0
5/5/2020,1,0,8.21,0
7/5/2020,1,0,6.92,0
12/5/2020,1,0,6.34,0
14/5/20,1,0,6.36,0
19/5/20,1,0,4.39,0
21/5/20,1,0,5.43,0
26/5/20,1,0,5.64,0
28/5/20,1,0,6.03,0
2/6/2020,1,0,6.41,0
4/6/2020,1,0,7.3,0
9/6/2020,1,0,7.82,0
11/6/2020,1,0,5.95,0
16/6/20,1,0,6.81,0
18/6/20,1,0,6.19,0
23/6/20,7.83,0,6.68,0
25/6/20,1,0,6.6,0
30/6/20,1,0,6.66,0
2/7/2020,1,0,6.93,0
7/7/2020,1,0,6.16,0
9/7/2020,1,0,6.31,0
14/7/20,2.94,0,5.22,0
16/7/20,1,0,6.23,0
21/7/20,1,0,7.13,0
23/7/20,1,0,8.79,0
30/7/20,1,0,6.93,0
4/8/2020,1,0,7.18,0
6/8/2020,1,0,6.09,0
11/8/2020,1,0,7.19,0
13/8/20,1,0,6.96,0
18/8/20,1,0,7.61,0
20/8/20,1,0,6.87,0
25/8/20,1,0,6.87,0
27/8/20,1,0,8.71,0
1/9/2020,1.54,0,6.78,0
3/9/2020,10.16,0,7.41,0
8/9/2020,1.37,0,6.62,0
10/9/2020,1,0,6.3,0
15/9/20,1,0,7.43,0
17/9/20,1,0,6.79,0
22/9/20,1.79,0,6.88,0
24/9/20,1,0,4.18,0
29/9/20,1.68,0,5.14,0
1/10/2020,1,0,6.79,0
6/10/2020,1,0,5.38,0
8/10/2020,1,0,7.55,0
15/10/20,1,0,6.73,0
20/10/20,3.05,0,6.79,0
22/10/20,1,0,7.43,0
27/10/20,1,0,5.38,0
29/10/20,1,0,5.94,0
1/11/2020,0,0,4.34,0
3/11/2020,1,0,7.12,0
5/11/2020,1,0,6,0
10/11/2020,1.99,0,6.72,0
12/11/2020,1,0,6.67,0
17/11/20,1.51,0,6.36,0
19/11/20,1,0,6.26,0
26/11/20,1,0,6.44,0
1/12/2020,1,0,6.52,0
3/12/2020,1.04,0,5.49,0
8/12/2020,1.1,0,5.82,0
10/12/2020,1.07,0,6.32,0
15/12/20,1.46,0,5.56,0
17/12/20,1,5.8,6.12,0
17/12/20,1.56,0,6.11,0
22/12/20,1.95,0,6.84,0
24/12/20,1,0,6.35,0
5/1/2021,1,0,6.1,0
7/1/2021,1,0,6.95,0
12/1/2021,1,0,4.77,0
14/1/21,1,0,7.63,0
18/1/21,1,2.9,6.84,6.9
19/1/21,1,0,6.87,0
21/1/21,1,0,6.6,0
26/1/21,1,0,5.79,0
28/1/21,1,0,5.62,0
2/2/2021,1.22,1.5,6.29,0
4/2/2021,1.1,1.2,6.3,0
9/2/2021,1,3,6.7,0
11/2/2021,1,3.3,6.53,0
16/2/21,1,1,6.62,0
18/2/21,1,1,7.36,0
23/2/21,1,1.4,7.17,0
25/2/21,1,1.5,6.67,0
2/3/2021,1,11.8,6.79,0
4/3/2021,1,2.6,6.66,0
9/3/2021,1.12,3,6.6,0
11/3/2021,1,2.4,6.97,0
16/3/21,1,1,6.74,0
18/3/21,1,1.1,7.22,0
8/4/2021,1,2.2,7,0
20/4/21,1,2,6.86,0
22/4/21,1,1,8.92,0
27/4/21,1,5.2,6.99,0
29/4/21,1,1.6,7.21,0
6/5/2021,1,3.2,6.88,0
11/5/2021,1,1.2,8.25,0
13/5/21,1,2.2,7.63,0
18/5/21,1.86,2.1,7.32,0
20/5/21,14.29,5.3,6.99,0
25/5/21,1,0,7.39,0
27/5/21,1,0,7.23,0
1/6/2021,1,0,6.38,0
8/6/2021,1,0,7.18,0
10/6/2021,1,0,7.54,0
