Date,02D002_Cl,02D002_pH
4/8/2020,<1,7.18
6/8/2020,<1,6.09
11/8/2020,<1,7.19
13/8/2020,<1,6.96
18/8/2020,<1,7.61
20/8/2020,<1,6.87
25/8/2020,<1,6.87
27/8/2020,<1,8.71
1/9/2020,1.54,6.78
3/9/2020,10.16,7.41
8/9/2020,1.37,6.62
10/9/2020,<1,6.3
15/9/2020,<1,7.43
17/9/2020,<1,6.79
22/9/2020,1.79,6.88
24/9/2020,<1,4.18
29/9/2020,1.68,5.14
1/10/2020,<1,6.79
6/10/2020,<1,5.38
8/10/2020,<1,7.55
15/10/2020,<1,6.73
20/10/2020,3.05,6.79
22/10/2020,<1,7.43
27/10/2020,<1,5.38
29/10/2020,<1,5.94
1/11/2020,,4.34
3/11/2020,<1,7.12
5/11/2020,<1,6
10/11/2020,1.99,6.72
12/11/2020,<1,6.67
17/11/2020,1.51,6.36
19/11/2020,<1,6.26
26/11/2020,<1,6.44
1/12/2020,<1,6.52
3/12/2020,1.04,5.49
8/12/2020,1.1,5.82
10/12/2020,1.07,6.32
15/12/2020,1.46,5.56
17/12/2020,<1,6.12
17/12/2020,1.56,6.11
22/12/2020,1.95,6.84
24/12/2020,<1,6.35
5/1/2021,<1,6.1
7/1/2021,<1,6.95
12/1/2021,<1,4.77
14/1/2021,<1,7.63
18/1/2021,<1,6.84
19/1/2021,<1,6.87
21/1/2021,<1,6.6
26/1/2021,<1,5.79
28/1/2021,<1,5.62
2/2/2021,1.22,6.29
4/2/2021,1.1,6.3
9/2/2021,<1,6.7
11/2/2021,<1,6.53
16/2/2021,<1,6.62
18/2/2021,<1,7.36
23/2/2021,<1,7.17
25/2/2021,<1,6.67
2/3/2021,<1,6.79
4/3/2021,<1,6.66
9/3/2021,1.12,6.6
11/3/2021,<1,6.97
16/3/2021,<1,6.74
18/3/2021,<1,7.22
8/4/2021,<1,7
20/4/2021,<1,6.86
22/4/2021,<1,8.92
27/4/2021,<1,6.99
29/4/2021,<1,7.21
6/5/2021,<1,6.88
11/5/2021,<1,8.25
13/5/2021,<1,7.63
18/5/2021,1.86,7.32
20/5/2021,14.29,6.99
25/5/2021,<1,7.39
27/5/2021,<1,7.23
1/6/2021,<1,6.38
8/6/2021,<1,7.18
10/6/2021,<1,7.54
15/6/2021,2.18,6.35
17/6/2021,1.37,6.23
22/6/2021,<1,6.98
24/6/2021,<1,6.53
29/6/2021,1.36,6.9
,,
,,

